TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;29.045.966/0001-27;JIANG FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;44047019.01;;;Outros;999 X 999
FI;29.045.966/0001-27;JIANG FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;71604.21;;;SDP;DI1 X PRE
FI;30.102.276/0001-41;SANTANDER HERMES RF FUNDO INCENTIVADO DE INVESTIMENTO EM INFRA;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;129478745.79;;;SDL;DI1 X IAP
FI;30.102.276/0001-41;SANTANDER HERMES RF FUNDO INCENTIVADO DE INVESTIMENTO EM INFRA;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;68010610.25;;;SDL;DI1 X IAP
FI;30.556.626/0001-40;JBFO CORPORATIVO 60 FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;101785.79;;;SDL;DI1 X IAP
FI;31.552.281/0001-19;HHH FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1086738.22;;;SDP;DI1 X PRE
FI;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;131548937.73;;;Outros;999 X 999
FI;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;131548937.73;;;Outros;999 X 999
FI;33.913.576/0001-07;DB II FIM INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;203237531.56;;;Outros;999 X 999
FI;33.913.576/0001-07;DB II FIM INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;108465783.76;;;SDC;DI1 X DOL
